,id,emotion_1,emotion_2
0,COCO_val2014_000000562243.jpg,Disconnection,Doubt/Confusion
1,COCO_train2014_000000288841.jpg,Anticipation,
2,COCO_val2014_000000558171.jpg,Engagement,Excitement
3,COCO_train2014_000000369575.jpg,Aversion,Pleasure
4,COCO_train2014_000000213009.jpg,Confidence,Excitement
5,COCO_train2014_000000462955.jpg,Anticipation,Engagement
6,COCO_val2014_000000168683.jpg,Anticipation,Engagement
7,COCO_train2014_000000186198.jpg,Anticipation,Peace
8,COCO_train2014_000000006590.jpg,Engagement,
9,COCO_train2014_000000144608.jpg,Fatigue,Happiness
10,ebpsbjqzfhd7efh00i.jpg,Pain,Sadness
11,COCO_val2014_000000547457.jpg,Anticipation,Engagement
12,COCO_val2014_000000122997.jpg,Engagement,
13,frame_k245twaqc30i5imc.jpg,Engagement,
14,frame_dkwhvgj0m40g01gs.jpg,Happiness,
15,COCO_train2014_000000179164.jpg,Yearning,
16,COCO_val2014_000000121006.jpg,Confidence,Happiness
17,frame_fjgek3oeqc8r0e3o.jpg,Engagement,
18,COCO_train2014_000000140322.jpg,Happiness,
19,COCO_train2014_000000497759.jpg,Disquietment,
20,COCO_train2014_000000001966.jpg,Anticipation,Confidence
21,COCO_train2014_000000326320.jpg,Yearning,
22,frame_kuxvwgw2wheq7szc.jpg,Anticipation,Disquietment
23,frame_95x221h7yj814qxc.jpg,Engagement,
24,COCO_train2014_000000253959.jpg,Happiness,Peace
25,COCO_train2014_000000022683.jpg,Disconnection,
26,COCO_train2014_000000094268.jpg,Engagement,
27,COCO_val2014_000000231589.jpg,Engagement,Excitement
28,COCO_train2014_000000423647.jpg,Confidence,Excitement
29,COCO_train2014_000000411109.jpg,Anticipation,Engagement
30,COCO_val2014_000000461715.jpg,Engagement,Peace
31,COCO_train2014_000000055276.jpg,Engagement,
32,COCO_val2014_000000568202.jpg,Engagement,Happiness
33,frame_erwzk3npaleubsqm.jpg,Engagement,
34,COCO_train2014_000000088609.jpg,Happiness,
35,COCO_val2014_000000054277.jpg,Anticipation,Engagement
36,COCO_train2014_000000549216.jpg,Engagement,
37,COCO_train2014_000000551481.jpg,Engagement,Excitement
38,COCO_train2014_000000528657.jpg,Engagement,
39,frame_b1v3bzyq8s4ucvy1.jpg,Anticipation,Engagement
40,COCO_train2014_000000552054.jpg,Engagement,
41,COCO_train2014_000000379034.jpg,Anticipation,Engagement
42,COCO_train2014_000000390644.jpg,Anticipation,
43,COCO_val2014_000000107239.jpg,Affection,Anticipation
44,COCO_train2014_000000322698.jpg,Anticipation,
45,COCO_val2014_000000508538.jpg,Disconnection,
46,COCO_train2014_000000563727.jpg,Engagement,
47,COCO_val2014_000000182785.jpg,Engagement,
48,gs84txnh5el02zkbp9.jpg,Anger,Aversion
49,COCO_train2014_000000408190.jpg,Anticipation,
50,frame_aztc78d4kjclxv9e.jpg,Anticipation,Engagement
51,frame_7nseu023ccmqaj3p.jpg,Affection,Happiness
52,COCO_train2014_000000432683.jpg,Confidence,
53,COCO_train2014_000000233526.jpg,Yearning,
54,COCO_train2014_000000137029.jpg,Excitement,
55,COCO_train2014_000000274108.jpg,Sensitivity,
56,COCO_train2014_000000149755.jpg,Happiness,Peace
57,COCO_train2014_000000159225.jpg,Yearning,
58,COCO_train2014_000000298949.jpg,Anticipation,Engagement
59,frame_j44zhny87dief9zp.jpg,Happiness,
60,frame_kpokdxsxymvz4qk3.jpg,Engagement,
61,COCO_train2014_000000524651.jpg,Happiness,
62,frame_08cmg83x4uc6vay4.jpg,Engagement,
63,frame_3jwi6nrvfphi4lp6.jpg,Engagement,
